,0
GCF_000007545:GEGEGB_00270,257
GCF_000007545:GEGEGB_00276,258
GCF_000007545:GEGEGB_00277,259
GCF_000007545:GEGEGB_00278,260
GCF_000007545:GEGEGB_00279,261
GCF_000007545:GEGEGB_00280,262
GCF_000007545:GEGEGB_00281,263
GCF_000007545:GEGEGB_00282,264
GCF_000007545:GEGEGB_00283,265
GCF_000007545:GEGEGB_00284,266
GCF_000007545:GEGEGB_00285,267
GCF_000007545:GEGEGB_00286,268
GCF_000007545:GEGEGB_00287,269
GCF_000007545:GEGEGB_00288,270
GCF_000007545:GEGEGB_00289,271
GCF_000007545:GEGEGB_00290,272
GCF_000007545:GEGEGB_00291,273
GCF_000007545:GEGEGB_00292,274
GCF_000007545:GEGEGB_00293,275
GCF_000007545:GEGEGB_00295,276
GCF_000007545:GEGEGB_00296,277
GCF_000007545:GEGEGB_00297,278
GCF_000007545:GEGEGB_00298,279
GCF_000007545:GEGEGB_00299,280
GCF_000007545:GEGEGB_00300,281
GCF_000007545:GEGEGB_00301,282
GCF_000007545:GEGEGB_00302,283
GCF_000007545:GEGEGB_00303,284
GCF_000007545:GEGEGB_00304,285
GCF_000007545:GEGEGB_00305,286
GCF_000007545:GEGEGB_00306,287
GCF_000007545:GEGEGB_00307,288
GCF_000007545:GEGEGB_00308,289
GCF_000007545:GEGEGB_00309,290
GCF_000007545:GEGEGB_00310,291
GCF_000007545:GEGEGB_00311,292
GCF_000007545:GEGEGB_00312,293
GCF_000007545:GEGEGB_00313,294
GCF_000007545:GEGEGB_00316,295
GCF_000007545:GEGEGB_00317,296
GCF_000007545:GEGEGB_00318,297
GCF_000007545:GEGEGB_00319,298
GCF_000007545:GEGEGB_00320,299
GCF_000007545:GEGEGB_00321,300
GCF_000007545:GEGEGB_00322,301
GCF_000007545:GEGEGB_00323,302
GCF_000007545:GEGEGB_00324,303
GCF_000007545:GEGEGB_00325,304
GCF_000007545:GEGEGB_00326,305
GCF_000007545:GEGEGB_00327,306
GCF_000007545:GEGEGB_00328,307
GCF_000007545:GEGEGB_00329,308
GCF_000007545:GEGEGB_00330,309
GCF_000007545:GEGEGB_00331,310
GCF_000007545:GEGEGB_00332,311
GCF_000007545:GEGEGB_00333,312
GCF_000007545:GEGEGB_00334,313
GCF_000007545:GEGEGB_00335,314
GCF_000007545:GEGEGB_00336,315
GCF_000007545:GEGEGB_00337,316
GCF_000007545:GEGEGB_00338,317
GCF_000007545:GEGEGB_00339,318
GCF_000007545:GEGEGB_00340,319
GCF_000007545:GEGEGB_00341,320
GCF_000007545:GEGEGB_00342,321
GCF_000007545:GEGEGB_00343,322
GCF_000007545:GEGEGB_00344,323
GCF_000007545:GEGEGB_00345,324
GCF_000007545:GEGEGB_00346,325
GCF_000007545:GEGEGB_00347,326
GCF_000007545:GEGEGB_00349,327
GCF_000007545:GEGEGB_00350,328
GCF_000007545:GEGEGB_00351,329
GCF_000007545:GEGEGB_00352,330
GCF_000007545:GEGEGB_00353,331
GCF_000007545:GEGEGB_00354,332
GCF_000007545:GEGEGB_00355,333
GCF_000007545:GEGEGB_00356,334
GCF_000007545:GEGEGB_00357,335
GCF_000007545:GEGEGB_00358,336
GCF_000007545:GEGEGB_00359,337
GCF_000007545:GEGEGB_00360,338
GCF_000007545:GEGEGB_00361,339
GCF_000007545:GEGEGB_00362,340
GCF_000007545:GEGEGB_00364,341
GCF_000007545:GEGEGB_00365,342
GCF_000007545:GEGEGB_00366,343
GCF_000007545:GEGEGB_00367,344
GCF_000007545:GEGEGB_00368,345
GCF_000007545:GEGEGB_00369,346
GCF_000007545:GEGEGB_00370,347
GCF_000007545:GEGEGB_00371,348
GCF_000007545:GEGEGB_00372,349
GCF_000007545:GEGEGB_00373,350
GCF_000007545:GEGEGB_00374,351
GCF_000007545:GEGEGB_00375,352
GCF_000007545:GEGEGB_00376,353
GCF_000007545:GEGEGB_00377,354
GCF_000007545:GEGEGB_00378,355
GCF_000007545:GEGEGB_00379,356
GCF_000007545:GEGEGB_00380,357
GCF_000007545:GEGEGB_00381,358
GCF_000007545:GEGEGB_00382,359
GCF_000007545:GEGEGB_00383,360
GCF_000007545:GEGEGB_00384,361
GCF_000007545:GEGEGB_00385,362
GCF_000007545:GEGEGB_00386,363
GCF_000007545:GEGEGB_00387,364
GCF_000007545:GEGEGB_00388,365
GCF_000007545:GEGEGB_00389,366
GCF_000007545:GEGEGB_00390,367
GCF_000007545:GEGEGB_00391,368
GCF_000007545:GEGEGB_00392,369
GCF_000007545:GEGEGB_00393,370
GCF_000007545:GEGEGB_00394,371
GCF_000007545:GEGEGB_00395,372
GCF_000007545:GEGEGB_00396,373
GCF_000007545:GEGEGB_00397,374
GCF_000007545:GEGEGB_00398,375
GCF_000007545:GEGEGB_00399,376
GCF_000007545:GEGEGB_00400,377
GCF_000007545:GEGEGB_00401,378
GCF_000007545:GEGEGB_00402,379
GCF_000007545:GEGEGB_00403,380
GCF_000007545:GEGEGB_00404,381
GCF_000007545:GEGEGB_00405,382
GCF_000007545:GEGEGB_00406,383
GCF_000007545:GEGEGB_00407,384
GCF_000007545:GEGEGB_00408,385
GCF_000007545:GEGEGB_00409,386
GCF_000007545:GEGEGB_00410,387
GCF_000007545:GEGEGB_00411,388
GCF_000007545:GEGEGB_00413,389
GCF_000007545:GEGEGB_00414,390
GCF_000007545:GEGEGB_00415,391
GCF_000007545:GEGEGB_00416,392
GCF_000007545:GEGEGB_00417,393
GCF_000007545:GEGEGB_00418,394
GCF_000007545:GEGEGB_00419,395
GCF_000007545:GEGEGB_00420,396
GCF_000007545:GEGEGB_00421,397
GCF_000007545:GEGEGB_00422,398
GCF_000007545:GEGEGB_00423,399
GCF_000007545:GEGEGB_00425,400
GCF_000007545:GEGEGB_00426,401
GCF_000007545:GEGEGB_00427,402
GCF_000007545:GEGEGB_00428,403
GCF_000007545:GEGEGB_00429,404
GCF_000007545:GEGEGB_00430,405
GCF_000007545:GEGEGB_00431,406
GCF_000007545:GEGEGB_00432,407
GCF_000007545:GEGEGB_00433,408
GCF_000007545:GEGEGB_00434,409
GCF_000007545:GEGEGB_00435,410
GCF_000007545:GEGEGB_00436,411
GCF_000007545:GEGEGB_00437,412
GCF_000007545:GEGEGB_00438,413
GCF_000007545:GEGEGB_00439,414
GCF_000007545:GEGEGB_00440,415
GCF_000007545:GEGEGB_00441,416
GCF_000007545:GEGEGB_00442,417
GCF_000007545:GEGEGB_00443,418
GCF_000007545:GEGEGB_00444,419
GCF_000007545:GEGEGB_00445,420
GCF_000007545:GEGEGB_00446,421
GCF_000007545:GEGEGB_00447,422
GCF_000007545:GEGEGB_00448,423
GCF_000007545:GEGEGB_00449,424
GCF_000007545:GEGEGB_00450,425
GCF_000007545:GEGEGB_00451,426
GCF_000007545:GEGEGB_00452,427
GCF_000007545:GEGEGB_00453,428
GCF_000007545:GEGEGB_00454,429
GCF_000007545:GEGEGB_00455,430
GCF_000007545:GEGEGB_00456,431
GCF_000007545:GEGEGB_00457,432
GCF_000007545:GEGEGB_00458,433
GCF_000007545:GEGEGB_00459,434
GCF_000007545:GEGEGB_00460,435
GCF_000007545:GEGEGB_00461,436
GCF_000007545:GEGEGB_00462,437
GCF_000007545:GEGEGB_00463,438
GCF_000007545:GEGEGB_00464,439
GCF_000007545:GEGEGB_00465,440
GCF_000007545:GEGEGB_00466,441
GCF_000007545:GEGEGB_00467,442
GCF_000007545:GEGEGB_00468,443
GCF_000007545:GEGEGB_00469,444
GCF_000007545:GEGEGB_00470,445
GCF_000007545:GEGEGB_00471,446
GCF_000007545:GEGEGB_00472,447
GCF_000007545:GEGEGB_00473,448
GCF_000007545:GEGEGB_00474,449
GCF_000007545:GEGEGB_00479,450
GCF_000007545:GEGEGB_00480,451
GCF_000007545:GEGEGB_00481,452
GCF_000007545:GEGEGB_00484,453
GCF_000007545:GEGEGB_00485,454
GCF_000007545:GEGEGB_00486,455
GCF_000007545:GEGEGB_00487,456
GCF_000007545:GEGEGB_00488,457
GCF_000007545:GEGEGB_00489,458
GCF_000007545:GEGEGB_00490,459
GCF_000007545:GEGEGB_00491,460
GCF_000007545:GEGEGB_00492,461
GCF_000007545:GEGEGB_00494,462
GCF_000007545:GEGEGB_00495,463
GCF_000007545:GEGEGB_00496,464
GCF_000007545:GEGEGB_00497,465
GCF_000007545:GEGEGB_00498,466
GCF_000007545:GEGEGB_00499,467
GCF_000007545:GEGEGB_00500,468
GCF_000007545:GEGEGB_00501,469
GCF_000007545:GEGEGB_00502,470
GCF_000007545:GEGEGB_00503,471
GCF_000007545:GEGEGB_00504,472
GCF_000007545:GEGEGB_00505,473
GCF_000007545:GEGEGB_00506,474
GCF_000007545:GEGEGB_00507,475
GCF_000007545:GEGEGB_00508,476
GCF_000007545:GEGEGB_00510,477
GCF_000007545:GEGEGB_00511,478
GCF_000007545:GEGEGB_00512,479
GCF_000007545:GEGEGB_00513,480
GCF_000007545:GEGEGB_00514,481
GCF_000007545:GEGEGB_00515,482
GCF_000007545:GEGEGB_00516,483
GCF_000007545:GEGEGB_00517,484
GCF_000007545:GEGEGB_00518,485
GCF_000007545:GEGEGB_00519,486
GCF_000007545:GEGEGB_00520,487
GCF_000007545:GEGEGB_00521,488
GCF_000007545:GEGEGB_00522,489
GCF_000007545:GEGEGB_00523,490
GCF_000007545:GEGEGB_00524,491
GCF_000007545:GEGEGB_00525,492
GCF_000007545:GEGEGB_00526,493
GCF_000007545:GEGEGB_00527,494
GCF_000007545:GEGEGB_00528,495
GCF_000007545:GEGEGB_00529,496
GCF_000007545:GEGEGB_00530,497
GCF_000007545:GEGEGB_00531,498
GCF_000007545:GEGEGB_00532,499
GCF_000007545:GEGEGB_00533,500
GCF_000007545:GEGEGB_00534,501
GCF_000007545:GEGEGB_00535,502
GCF_000007545:GEGEGB_00536,503
GCF_000007545:GEGEGB_00537,504
GCF_000007545:GEGEGB_00538,505
GCF_000007545:GEGEGB_00539,506
GCF_000007545:GEGEGB_00540,507
GCF_000007545:GEGEGB_00541,508
GCF_000007545:GEGEGB_00542,509
GCF_000007545:GEGEGB_00543,510
GCF_000007545:GEGEGB_00544,511
GCF_000007545:GEGEGB_00545,512
GCF_000007545:GEGEGB_00546,513
GCF_000007545:GEGEGB_00547,514
GCF_000007545:GEGEGB_00548,515
GCF_000007545:GEGEGB_00549,516
GCF_000007545:GEGEGB_00550,517
GCF_000007545:GEGEGB_00551,518
GCF_000007545:GEGEGB_00552,519
GCF_000007545:GEGEGB_00553,520
GCF_000007545:GEGEGB_00554,521
GCF_000007545:GEGEGB_00555,522
GCF_000007545:GEGEGB_00556,523
GCF_000007545:GEGEGB_00557,524
GCF_000007545:GEGEGB_00558,525
GCF_000007545:GEGEGB_00559,526
GCF_000007545:GEGEGB_00560,527
GCF_000007545:GEGEGB_00561,528
GCF_000007545:GEGEGB_00562,529
GCF_000007545:GEGEGB_00563,530
GCF_000007545:GEGEGB_00564,531
GCF_000007545:GEGEGB_00565,532
GCF_000007545:GEGEGB_00566,533
GCF_000007545:GEGEGB_00567,534
GCF_000007545:GEGEGB_00568,535
GCF_000007545:GEGEGB_00569,536
GCF_000007545:GEGEGB_00570,537
GCF_000007545:GEGEGB_00571,538
GCF_000007545:GEGEGB_00572,539
GCF_000007545:GEGEGB_00573,540
GCF_000007545:GEGEGB_00574,541
GCF_000007545:GEGEGB_00575,542
GCF_000007545:GEGEGB_00576,543
GCF_000007545:GEGEGB_00577,544
GCF_000007545:GEGEGB_00578,545
GCF_000007545:GEGEGB_00579,546
GCF_000007545:GEGEGB_00580,547
GCF_000007545:GEGEGB_00581,548
GCF_000007545:GEGEGB_00582,549
GCF_000007545:GEGEGB_00583,550
GCF_000007545:GEGEGB_00584,551
GCF_000007545:GEGEGB_00585,552
GCF_000007545:GEGEGB_00587,553
GCF_000007545:GEGEGB_00588,554
GCF_000007545:GEGEGB_00589,555
GCF_000007545:GEGEGB_00590,556
GCF_000007545:GEGEGB_00591,557
GCF_000007545:GEGEGB_00592,558
GCF_000007545:GEGEGB_00593,559
GCF_000007545:GEGEGB_00594,560
GCF_000007545:GEGEGB_00595,561
GCF_000007545:GEGEGB_00596,562
GCF_000007545:GEGEGB_00597,563
GCF_000007545:GEGEGB_00598,564
GCF_000007545:GEGEGB_00599,565
GCF_000007545:GEGEGB_00600,566
GCF_000007545:GEGEGB_00601,567
GCF_000007545:GEGEGB_00602,568
GCF_000007545:GEGEGB_00603,569
GCF_000007545:GEGEGB_00604,570
GCF_000007545:GEGEGB_00605,571
GCF_000007545:GEGEGB_00606,572
GCF_000007545:GEGEGB_00607,573
GCF_000007545:GEGEGB_00608,574
GCF_000007545:GEGEGB_00609,575
GCF_000007545:GEGEGB_00610,576
GCF_000007545:GEGEGB_00611,577
GCF_000007545:GEGEGB_00612,578
GCF_000007545:GEGEGB_00613,579
GCF_000007545:GEGEGB_00614,580
GCF_000007545:GEGEGB_00615,581
GCF_000007545:GEGEGB_00616,582
GCF_000007545:GEGEGB_00618,583
GCF_000007545:GEGEGB_00619,584
GCF_000007545:GEGEGB_00620,585
GCF_000007545:GEGEGB_00621,586
GCF_000007545:GEGEGB_00622,587
GCF_000007545:GEGEGB_00623,588
GCF_000007545:GEGEGB_00624,589
GCF_000007545:GEGEGB_00625,590
GCF_000007545:GEGEGB_00626,591
GCF_000007545:GEGEGB_00627,592
GCF_000007545:GEGEGB_00628,593
GCF_000007545:GEGEGB_00629,594
GCF_000007545:GEGEGB_00630,595
GCF_000007545:GEGEGB_00631,596
GCF_000007545:GEGEGB_00632,597
GCF_000007545:GEGEGB_00633,598
GCF_000007545:GEGEGB_00634,599
GCF_000007545:GEGEGB_00636,600
GCF_000007545:GEGEGB_00637,601
GCF_000007545:GEGEGB_00638,602
GCF_000007545:GEGEGB_00639,603
GCF_000007545:GEGEGB_00641,604
GCF_000007545:GEGEGB_00642,605
GCF_000007545:GEGEGB_00643,606
GCF_000007545:GEGEGB_00644,607
GCF_000007545:GEGEGB_00645,608
GCF_000007545:GEGEGB_00646,609
GCF_000007545:GEGEGB_00647,610
